FIPS,STABRV,STATE,WPRFS,TOTAL,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,P1,P2,P3,GRADE,P1g,P2g,P3g
1,AL,Alabama,22.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,F,F,F,D
2,AK,Alaska,20.4,6,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,3,D-,D,F,D
4,AZ,Arizona,20.6,15,0,3,0,0,3,3,0,3,0,0,0,0,1,2,0,0,0,9,3,3,C,C,D,D
5,AR,Arkansas,26,2.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,1,0,0.5,2,F,F,F,D
6,CA,California,12.7,27.5,0,0,1,3,3,3,3,3,2,2,0,0.5,1,2,3,0,1,10,10.5,7,B-,C,C,B
8,CO,Colorado,11.9,16.5,0,3,0,0,0,2,0,3,2,0,0,1.5,1,2,0,1,1,5,6.5,5,C,D,D,C
9,CT,Connecticut,10,3.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,0,0,0,0,0.5,3,F,F,F,D
10,DE,Delaware,13.7,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,5,D-,F,F,C
11,DC,District of Columbia,17,12,0,3,0,0,3,1,0,0,0,0,0,0,1,2,0,1,1,7,0,5,D+,D,F,C
12,FL,Florida,18.8,9,0,0,0,1,3,0,0,3,0,0,0,0,0,2,0,0,0,4,3,2,D,D,D,D
13,GA,Georgia,15.3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,F,F,F,D
15,HI,Hawaii,13.3,7,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,1,2,0,5,D,F,F,C
16,ID,Idaho,14.1,2.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,1,0,0,0.5,2,F,F,F,D
17,IL,Illinois,13.1,15.5,0,0,0,1,0,3,3,3,0,0,0,0.5,1,2,0,1,1,4,6.5,5,C,D,D,C
18,IN,Indiana,22.2,8.5,0,0,0,0,0,0,0,0,3,0,0,1.5,1,2,0,1,0,0,4.5,4,D,F,D,C
19,IA,Iowa,12.4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,F,F,F,D
